F = -1.000000 | I = 335 | calculated -0.001490
F = 1.000000 | I = 336 | calculated 0.001486
F = -1.000000 | I = 337 | calculated -0.001481
F = 1.000000 | I = 338 | calculated 0.001477
F = -1.000000 | I = 339 | calculated -0.001473
F = 1.000000 | I = 340 | calculated 0.001468
F = -1.000000 | I = 341 | calculated -0.001464
F = 1.000000 | I = 342 | calculated 0.001460
F = -1.000000 | I = 343 | calculated -0.001456
F = 1.000000 | I = 344 | calculated 0.001451
F = -1.000000 | I = 345 | calculated -0.001447
F = 1.000000 | I = 346 | calculated 0.001443
F = -1.000000 | I = 347 | calculated -0.001439
F = 1.000000 | I = 348 | calculated 0.001435
F = -1.000000 | I = 349 | calculated -0.001431
F = 1.000000 | I = 350 | calculated 0.001427
F = -1.000000 | I = 351 | calculated -0.001422
F = 1.000000 | I = 352 | calculated 0.001418
F = -1.000000 | I = 353 | calculated -0.001414
F = 1.000000 | I = 354 | calculated 0.001410
F = -1.000000 | I = 355 | calculated -0.001406
F = 1.000000 | I = 356 | calculated 0.001403
F = -1.000000 | I = 357 | calculated -0.001399
F = 1.000000 | I = 358 | calculated 0.001395
F = 1.000000 | I = 360 | calculated 0.001387
F = -1.000000 | I = 359 | calculated -0.001391
F = 1.000000 | I = 362 | calculated 0.001379
F = -1.000000 | I = 361 | calculated -0.001383
F = -1.000000 | I = 363 | calculated -0.001376
F = 1.000000 | I = 364 | calculated 0.001372
F = -1.000000 | I = 365 | calculated -0.001368
F = 1.000000 | I = 366 | calculated 0.001364
F = -1.000000 | I = 367 | calculated -0.001361
F = 1.000000 | I = 368 | calculated 0.001357
F = -1.000000 | I = 369 | calculated -0.001353
F = 1.000000 | I = 370 | calculated 0.001350
F = -1.000000 | I = 371 | calculated -0.001346
F = 1.000000 | I = 372 | calculated 0.001342
F = -1.000000 | I = 373 | calculated -0.001339
F = 1.000000 | I = 374 | calculated 0.001335
F = -1.000000 | I = 375 | calculated -0.001332
F = 1.000000 | I = 376 | calculated 0.001328
F = -1.000000 | I = 377 | calculated -0.001325
F = 1.000000 | I = 378 | calculated 0.001321
F = -1.000000 | I = 379 | calculated -0.001318
F = 1.000000 | I = 380 | calculated 0.001314
F = -1.000000 | I = 381 | calculated -0.001311
F = 1.000000 | I = 382 | calculated 0.001307
F = -1.000000 | I = 383 | calculated -0.001304
F = 1.000000 | I = 384 | calculated 0.001300
F = -1.000000 | I = 385 | calculated -0.001297
F = 1.000000 | I = 386 | calculated 0.001294
F = -1.000000 | I = 387 | calculated -0.001290
F = 1.000000 | I = 388 | calculated 0.001287
F = -1.000000 | I = 389 | calculated -0.001284
F = 1.000000 | I = 390 | calculated 0.001280
F = -1.000000 | I = 391 | calculated -0.001277
F = 1.000000 | I = 392 | calculated 0.001274
F = -1.000000 | I = 393 | calculated -0.001271
F = 1.000000 | I = 394 | calculated 0.001267
F = -1.000000 | I = 395 | calculated -0.001264
F = 1.000000 | I = 396 | calculated 0.001261
F = -1.000000 | I = 397 | calculated -0.001258
F = 1.000000 | I = 398 | calculated 0.001255
F = -1.000000 | I = 399 | calculated -0.001252
F = 1.000000 | I = 400 | calculated 0.001248
F = -1.000000 | I = 401 | calculated -0.001245
F = 1.000000 | I = 402 | calculated 0.001242
F = -1.000000 | I = 403 | calculated -0.001239
F = 1.000000 | I = 404 | calculated 0.001236
F = -1.000000 | I = 405 | calculated -0.001233
F = 1.000000 | I = 406 | calculated 0.001230
F = -1.000000 | I = 407 | calculated -0.001227
F = 1.000000 | I = 408 | calculated 0.001224
F = -1.000000 | I = 409 | calculated -0.001221
F = 1.000000 | I = 410 | calculated 0.001218
F = -1.000000 | I = 411 | calculated -0.001215
F = 1.000000 | I = 412 | calculated 0.001212
F = -1.000000 | I = 413 | calculated -0.001209
F = 1.000000 | I = 414 | calculated 0.001206
F = -1.000000 | I = 415 | calculated -0.001203
F = 1.000000 | I = 416 | calculated 0.001200
F = -1.000000 | I = 417 | calculated -0.001198
F = 1.000000 | I = 418 | calculated 0.001195
F = -1.000000 | I = 419 | calculated -0.001192
F = 1.000000 | I = 420 | calculated 0.001189
F = -1.000000 | I = 421 | calculated -0.001186
F = 1.000000 | I = 422 | calculated 0.001183
F = -1.000000 | I = 423 | calculated -0.001181
F = 1.000000 | I = 424 | calculated 0.001178
F = -1.000000 | I = 425 | calculated -0.001175
F = 1.000000 | I = 426 | calculated 0.001172
F = -1.000000 | I = 427 | calculated -0.001170
F = 1.000000 | I = 428 | calculated 0.001167
F = -1.000000 | I = 429 | calculated -0.001164
F = 1.000000 | I = 430 | calculated 0.001161
F = -1.000000 | I = 431 | calculated -0.001159
F = 1.000000 | I = 432 | calculated 0.001156
F = -1.000000 | I = 433 | calculated -0.001153
F = 1.000000 | I = 434 | calculated 0.001151
F = -1.000000 | I = 435 | calculated -0.001148
F = 1.000000 | I = 436 | calculated 0.001145
F = -1.000000 | I = 437 | calculated -0.001143
F = 1.000000 | I = 438 | calculated 0.001140
F = -1.000000 | I = 439 | calculated -0.001138
F = 1.000000 | I = 440 | calculated 0.001135
F = -1.000000 | I = 441 | calculated -0.001133
F = 1.000000 | I = 442 | calculated 0.001130
F = -1.000000 | I = 443 | calculated -0.001127
F = 1.000000 | I = 444 | calculated 0.001125
F = -1.000000 | I = 445 | calculated -0.001122
F = 1.000000 | I = 446 | calculated 0.001120
F = -1.000000 | I = 447 | calculated -0.001117
F = 1.000000 | I = 448 | calculated 0.001115
F = 1.000000 | I = 450 | calculated 0.001110
F = -1.000000 | I = 449 | calculated -0.001112
F = -1.000000 | I = 451 | calculated -0.001107
F = 1.000000 | I = 452 | calculated 0.001105
F = -1.000000 | I = 453 | calculated -0.001103
F = 1.000000 | I = 454 | calculated 0.001100
F = -1.000000 | I = 455 | calculated -0.001098
F = 1.000000 | I = 456 | calculated 0.001095
F = -1.000000 | I = 457 | calculated -0.001093
F = 1.000000 | I = 458 | calculated 0.001091
F = -1.000000 | I = 459 | calculated -0.001088
F = 1.000000 | I = 460 | calculated 0.001086
F = -1.000000 | I = 461 | calculated -0.001083
F = 1.000000 | I = 462 | calculated 0.001081
F = -1.000000 | I = 463 | calculated -0.001079
F = 1.000000 | I = 464 | calculated 0.001076
F = -1.000000 | I = 465 | calculated -0.001074
F = -1.000000 | I = 467 | calculated -0.001070
F = 1.000000 | I = 468 | calculated 0.001067
F = 1.000000 | I = 466 | calculated 0.001072
F = -1.000000 | I = 469 | calculated -0.001065
F = 1.000000 | I = 470 | calculated 0.001063
F = -1.000000 | I = 471 | calculated -0.001060
F = 1.000000 | I = 472 | calculated 0.001058
F = -1.000000 | I = 473 | calculated -0.001056
F = 1.000000 | I = 474 | calculated 0.001054
F = -1.000000 | I = 475 | calculated -0.001052
F = 1.000000 | I = 476 | calculated 0.001049
F = -1.000000 | I = 477 | calculated -0.001047
F = 1.000000 | I = 478 | calculated 0.001045
F = -1.000000 | I = 479 | calculated -0.001043
F = 1.000000 | I = 480 | calculated 0.001041
F = -1.000000 | I = 481 | calculated -0.001038
F = 1.000000 | I = 482 | calculated 0.001036
F = -1.000000 | I = 483 | calculated -0.001034
F = 1.000000 | I = 484 | calculated 0.001032
F = -1.000000 | I = 485 | calculated -0.001030
F = 1.000000 | I = 486 | calculated 0.001028
F = -1.000000 | I = 487 | calculated -0.001026
F = 1.000000 | I = 488 | calculated 0.001024
F = -1.000000 | I = 489 | calculated -0.001021
F = 1.000000 | I = 490 | calculated 0.001019
F = -1.000000 | I = 491 | calculated -0.001017
F = 1.000000 | I = 492 | calculated 0.001015
F = -1.000000 | I = 493 | calculated -0.001013
F = 1.000000 | I = 494 | calculated 0.001011
F = -1.000000 | I = 495 | calculated -0.001009
F = 1.000000 | I = 496 | calculated 0.001007
F = -1.000000 | I = 497 | calculated -0.001005
F = 1.000000 | I = 498 | calculated 0.001003
F = -1.000000 | I = 499 | calculated -0.001001
F = 1.000000 | I = 500 | calculated 0.000999
F = -1.000000 | I = 501 | calculated -0.000997
F = 1.000000 | I = 502 | calculated 0.000995
F = -1.000000 | I = 503 | calculated -0.000993
F = 1.000000 | I = 504 | calculated 0.000991
F = -1.000000 | I = 505 | calculated -0.000989
F = 1.000000 | I = 506 | calculated 0.000987
F = -1.000000 | I = 507 | calculated -0.000985
F = 1.000000 | I = 508 | calculated 0.000983
F = -1.000000 | I = 509 | calculated -0.000981
F = 1.000000 | I = 510 | calculated 0.000979
F = -1.000000 | I = 511 | calculated -0.000978
F = 1.000000 | I = 512 | calculated 0.000976
F = -1.000000 | I = 513 | calculated -0.000974
F = 1.000000 | I = 514 | calculated 0.000972
F = -1.000000 | I = 515 | calculated -0.000970
F = 1.000000 | I = 516 | calculated 0.000968
F = -1.000000 | I = 517 | calculated -0.000966
F = 1.000000 | I = 518 | calculated 0.000964
F = -1.000000 | I = 519 | calculated -0.000962
F = 1.000000 | I = 520 | calculated 0.000961
F = -1.000000 | I = 521 | calculated -0.000959
F = 1.000000 | I = 522 | calculated 0.000957
F = -1.000000 | I = 523 | calculated -0.000955
F = 1.000000 | I = 524 | calculated 0.000953
F = -1.000000 | I = 525 | calculated -0.000951
F = 1.000000 | I = 526 | calculated 0.000950
F = -1.000000 | I = 527 | calculated -0.000948
F = 1.000000 | I = 528 | calculated 0.000946
F = -1.000000 | I = 529 | calculated -0.000944
F = 1.000000 | I = 530 | calculated 0.000943
F = -1.000000 | I = 531 | calculated -0.000941
F = 1.000000 | I = 532 | calculated 0.000939
F = -1.000000 | I = 533 | calculated -0.000937
F = 1.000000 | I = 534 | calculated 0.000935
F = -1.000000 | I = 535 | calculated -0.000934
F = 1.000000 | I = 536 | calculated 0.000932
F = 1.000000 | I = 538 | calculated 0.000929
F = -1.000000 | I = 537 | calculated -0.000930
F = -1.000000 | I = 539 | calculated -0.000927
F = 1.000000 | I = 540 | calculated 0.000925
F = -1.000000 | I = 541 | calculated -0.000923
F = 1.000000 | I = 542 | calculated 0.000922
F = -1.000000 | I = 543 | calculated -0.000920
F = 1.000000 | I = 544 | calculated 0.000918
F = -1.000000 | I = 545 | calculated -0.000917
F = 1.000000 | I = 546 | calculated 0.000915
F = -1.000000 | I = 547 | calculated -0.000913
F = 1.000000 | I = 548 | calculated 0.000912
F = -1.000000 | I = 549 | calculated -0.000910
F = 1.000000 | I = 550 | calculated 0.000908
F = -1.000000 | I = 551 | calculated -0.000907
F = 1.000000 | I = 552 | calculated 0.000905
F = -1.000000 | I = 553 | calculated -0.000903
F = 1.000000 | I = 554 | calculated 0.000902
F = -1.000000 | I = 555 | calculated -0.000900
F = 1.000000 | I = 556 | calculated 0.000898
